Namaz,Namaz Time
Dhuhr,2023-02-28 18:04:00+00:00
Asr,2023-02-01 20:44:00+00:00
Asr,2023-02-02 20:45:00+00:00
Asr,2023-02-03 20:46:00+00:00
Asr,2023-02-04 20:47:00+00:00
Asr,2023-02-05 20:48:00+00:00
Asr,2023-02-06 20:49:00+00:00
Asr,2023-02-07 20:50:00+00:00
Asr,2023-02-08 20:51:00+00:00
Asr,2023-02-09 20:52:00+00:00
Asr,2023-02-10 20:53:00+00:00
Asr,2023-02-11 20:54:00+00:00
Asr,2023-02-12 20:55:00+00:00
Asr,2023-02-13 20:56:00+00:00
Asr,2023-02-14 20:57:00+00:00
Asr,2023-02-15 20:58:00+00:00
Asr,2023-02-16 20:59:00+00:00
Asr,2023-02-17 21:00:00+00:00
Asr,2023-02-18 21:01:00+00:00
Asr,2023-02-19 21:02:00+00:00
Asr,2023-02-20 21:03:00+00:00
Asr,2023-02-21 21:04:00+00:00
Asr,2023-02-22 21:05:00+00:00
Asr,2023-02-23 21:06:00+00:00
Asr,2023-02-24 21:07:00+00:00
Asr,2023-02-25 21:07:00+00:00
Asr,2023-02-26 21:08:00+00:00
Asr,2023-02-27 21:09:00+00:00
Asr,2023-02-28 21:10:00+00:00
Maghrib,2023-02-01 23:06:00+00:00
Maghrib,2023-02-02 23:07:00+00:00
Maghrib,2023-02-03 23:09:00+00:00
Maghrib,2023-02-04 23:10:00+00:00
Maghrib,2023-02-05 23:11:00+00:00
Maghrib,2023-02-06 23:12:00+00:00
Maghrib,2023-02-07 23:14:00+00:00
Maghrib,2023-02-08 23:15:00+00:00
Maghrib,2023-02-09 23:16:00+00:00
Maghrib,2023-02-10 23:18:00+00:00
Maghrib,2023-02-11 23:19:00+00:00
Maghrib,2023-02-12 23:20:00+00:00
Maghrib,2023-02-13 23:21:00+00:00
Maghrib,2023-02-14 23:23:00+00:00
Maghrib,2023-02-15 23:24:00+00:00
Maghrib,2023-02-16 23:25:00+00:00
Maghrib,2023-02-17 23:26:00+00:00
Maghrib,2023-02-18 23:28:00+00:00
Maghrib,2023-02-19 23:29:00+00:00
Maghrib,2023-02-20 23:30:00+00:00
Maghrib,2023-02-21 23:31:00+00:00
Maghrib,2023-02-22 23:33:00+00:00
Maghrib,2023-02-23 23:34:00+00:00
Maghrib,2023-02-24 23:35:00+00:00
Maghrib,2023-02-25 23:36:00+00:00
Maghrib,2023-02-26 23:38:00+00:00
Maghrib,2023-02-27 23:39:00+00:00
Maghrib,2023-02-28 23:40:00+00:00
Isha,2023-02-02 00:26:00+00:00
Isha,2023-02-03 00:27:00+00:00
Isha,2023-02-04 00:28:00+00:00
Isha,2023-02-05 00:29:00+00:00
Isha,2023-02-06 00:30:00+00:00
Isha,2023-02-07 00:31:00+00:00
Isha,2023-02-08 00:32:00+00:00
Isha,2023-02-09 00:34:00+00:00
Isha,2023-02-10 00:35:00+00:00
Isha,2023-02-11 00:36:00+00:00
Isha,2023-02-12 00:37:00+00:00
Isha,2023-02-13 00:38:00+00:00
Isha,2023-02-14 00:39:00+00:00
Isha,2023-02-15 00:40:00+00:00
Isha,2023-02-16 00:42:00+00:00
Isha,2023-02-17 00:43:00+00:00
Isha,2023-02-18 00:44:00+00:00
Isha,2023-02-19 00:45:00+00:00
Isha,2023-02-20 00:46:00+00:00
Isha,2023-02-21 00:47:00+00:00
Isha,2023-02-22 00:49:00+00:00
Isha,2023-02-23 00:50:00+00:00
Isha,2023-02-24 00:51:00+00:00
Isha,2023-02-25 00:52:00+00:00
Isha,2023-02-26 00:53:00+00:00
Isha,2023-02-27 00:54:00+00:00
Isha,2023-02-28 00:56:00+00:00
Isha,2023-03-01 00:57:00+00:00
